17-8-7 16:46:35.7|Info|Bootstrap|Starting Sonarr - /opt/NzbDrone/NzbDrone.exe - Version 2.0.0.4928
17-8-7 16:46:54.4|Info|MigrationLogger|*** Migrating data source=/home/k/.config/NzbDrone/nzbdrone.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
17-8-7 16:46:55.0|Info|MigrationLogger|*** VersionMigration migrating ***
17-8-7 16:46:55.7|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
17-8-7 16:46:55.9|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
17-8-7 16:46:56.1|Info|MigrationLogger|*** 1: InitialSetup migrating ***
17-8-7 16:46:56.2|Info|InitialSetup|Starting migration to 1
17-8-7 16:46:56.4|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
17-8-7 16:46:56.4|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
17-8-7 16:46:56.4|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
17-8-7 16:46:56.4|Info|remove_renamed_scene_mapping_columns|Starting migration to 3
17-8-7 16:46:56.5|Info|MigrationLogger|*** 4: updated_history migrating ***
17-8-7 16:46:56.5|Info|updated_history|Starting migration to 4
17-8-7 16:46:56.5|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
17-8-7 16:46:56.5|Info|added_eventtype_to_history|Starting migration to 5
17-8-7 16:46:56.5|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
17-8-7 16:46:56.5|Info|add_index_to_log_time|Starting migration to 6
17-8-7 16:46:56.5|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
17-8-7 16:46:56.5|Info|add_renameEpisodes_to_naming|Starting migration to 7
17-8-7 16:46:56.6|Info|MigrationLogger|*** 8: remove_backlog migrating ***
17-8-7 16:46:56.6|Info|remove_backlog|Starting migration to 8
17-8-7 16:46:56.9|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
17-8-7 16:46:56.9|Info|fix_rename_episodes|Starting migration to 9
17-8-7 16:46:57.0|Info|MigrationLogger|*** 10: add_monitored migrating ***
17-8-7 16:46:57.0|Info|add_monitored|Starting migration to 10
17-8-7 16:46:57.0|Info|MigrationLogger|*** 11: remove_ignored migrating ***
17-8-7 16:46:57.0|Info|remove_ignored|Starting migration to 11
17-8-7 16:46:57.1|Info|MigrationLogger|*** 12: remove_custom_start_date migrating ***
17-8-7 16:46:57.1|Info|remove_custom_start_date|Starting migration to 12
17-8-7 16:46:57.1|Info|MigrationLogger|*** 13: add_air_date_utc migrating ***
17-8-7 16:46:57.2|Info|add_air_date_utc|Starting migration to 13
17-8-7 16:46:57.2|Info|MigrationLogger|*** 14: drop_air_date migrating ***
17-8-7 16:46:57.2|Info|drop_air_date|Starting migration to 14
17-8-7 16:46:57.2|Info|MigrationLogger|*** 15: add_air_date_as_string migrating ***
17-8-7 16:46:57.2|Info|add_air_date_as_string|Starting migration to 15
17-8-7 16:46:57.3|Info|MigrationLogger|*** 16: updated_imported_history_item migrating ***
17-8-7 16:46:57.3|Info|updated_imported_history_item|Starting migration to 16
17-8-7 16:46:57.3|Info|MigrationLogger|*** 17: reset_scene_names migrating ***
17-8-7 16:46:57.3|Info|reset_scene_names|Starting migration to 17
17-8-7 16:46:57.3|Info|MigrationLogger|*** 18: remove_duplicates migrating ***
17-8-7 16:46:57.3|Info|remove_duplicates|Starting migration to 18
17-8-7 16:46:57.4|Info|MigrationLogger|*** 19: restore_unique_constraints migrating ***
17-8-7 16:46:57.4|Info|restore_unique_constraints|Starting migration to 19
17-8-7 16:46:57.4|Info|MigrationLogger|*** 20: add_year_and_seasons_to_series migrating ***
17-8-7 16:46:57.4|Info|add_year_and_seasons_to_series|Starting migration to 20
17-8-7 16:46:57.4|Info|MigrationLogger|*** 21: drop_seasons_table migrating ***
17-8-7 16:46:57.4|Info|drop_seasons_table|Starting migration to 21
17-8-7 16:46:57.5|Info|MigrationLogger|*** 22: move_indexer_to_generic_provider migrating ***
17-8-7 16:46:57.5|Info|move_indexer_to_generic_provider|Starting migration to 22
17-8-7 16:46:57.5|Info|MigrationLogger|*** 23: add_config_contract_to_indexers migrating ***
17-8-7 16:46:57.5|Info|add_config_contract_to_indexers|Starting migration to 23
17-8-7 16:46:57.6|Info|MigrationLogger|*** 24: drop_tvdb_episodeid migrating ***
17-8-7 16:46:57.6|Info|drop_tvdb_episodeid|Starting migration to 24
17-8-7 16:46:57.7|Info|MigrationLogger|*** 25: move_notification_to_generic_provider migrating ***
17-8-7 16:46:57.7|Info|move_notification_to_generic_provider|Starting migration to 25
17-8-7 16:46:57.7|Info|MigrationLogger|*** 26: add_config_contract_to_notifications migrating ***
17-8-7 16:46:57.7|Info|add_config_contract_to_notifications|Starting migration to 26
17-8-7 16:46:57.7|Info|MigrationLogger|*** 27: fix_omgwtfnzbs migrating ***
17-8-7 16:46:57.7|Info|fix_omgwtfnzbs|Starting migration to 27
17-8-7 16:46:57.8|Info|MigrationLogger|*** 28: add_blacklist_table migrating ***
17-8-7 16:46:57.8|Info|add_blacklist_table|Starting migration to 28
17-8-7 16:46:57.8|Info|MigrationLogger|*** 29: add_formats_to_naming_config migrating ***
17-8-7 16:46:57.8|Info|add_formats_to_naming_config|Starting migration to 29
17-8-7 16:46:57.9|Info|MigrationLogger|*** 30: add_season_folder_format_to_naming_config migrating ***
17-8-7 16:46:57.9|Info|add_season_folder_format_to_naming_config|Starting migration to 30
17-8-7 16:46:57.9|Info|MigrationLogger|*** 31: delete_old_naming_config_columns migrating ***
17-8-7 16:46:57.9|Info|delete_old_naming_config_columns|Starting migration to 31
17-8-7 16:46:58.0|Info|MigrationLogger|*** 32: set_default_release_group migrating ***
17-8-7 16:46:58.0|Info|set_default_release_group|Starting migration to 32
17-8-7 16:46:58.1|Info|MigrationLogger|*** 33: add_api_key_to_pushover migrating ***
17-8-7 16:46:58.1|Info|add_api_key_to_pushover|Starting migration to 33
17-8-7 16:46:58.1|Info|MigrationLogger|*** 34: remove_series_contraints migrating ***
17-8-7 16:46:58.1|Info|remove_series_contraints|Starting migration to 34
17-8-7 16:46:58.2|Info|MigrationLogger|*** 35: add_series_folder_format_to_naming_config migrating ***
